"Subscribe to our Newsletter","Suscríbase a nuestro Newsletter"
"Stay up to date with our latest releases. Learn more about our brands and receive the best promotions.","Manténgase actualizado con nuestros últimos lanzamientos. Conozca más sobre nuestras marcas y reciba las mejores promociones."
"Your email","Su e-mail"
"Sign up for the Newsletter","Registrame al newsletter"
"Accept","Acepto"
"terms and conditions","términos y condiciones"
"Help","Ayuda"
"Contact","Contacto"
"Online Help","Ayuda Online"
"Our commitment","Nuestro compromiso"
"Give feedback","Dar feedback"
"How to buy","Cómo comprar"
"Payment methods","Métodos de pago"
"withdrawal to deposit","Retiro a depósito"
"Buy with shipping","Compra con envío"
"Telephone purchases","Compras telefónicas"
"returns","Devoluciones"
"us","Nosotros"
"About us","Sobre nosotros"
"Press","Prensa"
"For providers","Para proveedores"
"Regulations","Regulaciones"
"Privacy","Privacidad"
"Cookies","Cookies"
"Services","Servicios"
"Logistics","Logística"
"Customer Support","Atención al cliente"
"Other services","Devoluciones"
"2022 Ballon Group SRL","Otros servicios"
"Public price","Precio Público"
"Discount","Descuento"
"Price","Precio"
"carrying 50","Llevando 50 "
"carrying 80","Llevando 80 "
"carrying 100","Llevando 100 "
"you get 15% discount on PUB","obtenés 15% dto s/PUB"
"you get 18% discount on PUB","obtenés 18% dto s/PUB"
"you get 20% discount on PUB","obtenés 20% dto s/PUB"
"Add to Cart","Agregar al carrito"
"Details","Detalles"
"Attachments","Adjuntos"
"hospitable","HOSPITALARIO"
"cold chain","CADENA DE FRÍO"
"no refund","SIN DEVOLUCIÓN"
"psychotropic","PSICOTRÓPICO"
"In Stock","En Stock"
"Sign In","Ingresar"
"Email Address","Login/e-mail"
"Password","Contraseña"
"Create an Account","¡Bienvenido de vuelta!"
"Forgot Your Password?","¿Olvidó su contraseña?"
